Date,Armii Krajowej,Bora-Komorowskiego,Bulwary,Dworzec Główny,Grzegórzecka,Kamieńskiego,Klimeckiego,Kopernika,Kotlarska,Mogilska,Monte Cassino,Niepołomska,Nowohucka,Smoleńsk,Tyniecka,Wadowicka,Wielicka
2016/11/18,,,421,,,,,,560,907,,,,,,212,329
2016/11/19,,,328,,,,,,232,438,,,,,,206,151
2016/11/20,,,539,,,,,,285,549,,,,,,212,182
2016/11/21,,,1002,,,,,,953,1501,,,,,,382,479
2016/11/22,,,1132, ,,,,,1039,1626,,,,,,386,502
2016/11/23,,,972,,,,,,996,1555,,,,,,319,440
2016/11/24,,,701,,,,,,787,1270,,,,,,255,358
2016/11/25,,,454,,,,,,551,906,,,,,,158,222
2016/11/26,,,259,,,,,,265,385,,,,,,107,109
2016/11/27,,,127,,,,,,102,246,,,,,,117,58
2016/11/28,,,357,,,,,,493,804,,,,,,155,204
2016/11/29,,,336,,,,,,497,801,,,,,,219,194
2016/11/30,,,370,,,,,,467,821,,,,,,252,199
2016/12/01,,,233,,,,,,311,494,,,,,,172,122
2016/12/02,,,278,,,,,,375,553,,,,,,185,138
2016/12/03,,,185,,,,,,165,298,,,,,,72,55
2016/12/04,,,251,,,,,,183,291,,,,,,93,78
2016/12/05,,,382,,,,,,475,734,,,,,,272,185
2016/12/06,,,361,,,,,,482,757,,,,,,235,215
2016/12/07,,,405,,,,,,513,803,,,,,,237,204
2016/12/08,,,436,,,,,,530,839,,,,,,304,206
2016/12/09,,,400,,,,,,498,812,,,,,,291,227
2016/12/10,,,256,,,,,,199,385,,,,,,94,134
2016/12/11,,,178,,,,,,113,231,,,,,,36,69
2016/12/12,,,249,,,,,,361,612,,,,,,127,162
2016/12/13,,,336,,,,,,439,788,,,,,,204,184
2016/12/14,,,286,,,,,,413,697,,,,,,186,169
2016/12/15,,,278,,,,,,403,705,,,,,,208,184
2016/12/16,,,345,,,,,,429,755,,,,,,182,190
2016/12/17,,,206,,,,,,153,338,,,,,,88,106
2016/12/18,,,104,,,,,,96,193,,,,,,71,51
2016/12/19,,,319,,,,,,396,738,,,,,,233,181
2016/12/20,,,372,,,,,,501,788,,,,,,231,227
2016/12/21,,,303,,,,,,493,759,,,,,,260,209
2016/12/22,,,283,,,,,,417,702,,,,,,251,178
2016/12/23,,,199,,,,,,302,456,,,,,,146,125
2016/12/24,,,51,,,,,,50,95,,,,,,44,40
2016/12/25,,,39,,,,,,15,43,,,,,,8,14
2016/12/26,,,82,,,,,,47,93,,,,,,37,28
2016/12/27,,,130,,,,,,165,317,,,,,,125,81
2016/12/28,,,258,,,,,,316,525,,,,,,142,116
2016/12/29,,,284,,,,,,303,552,,,,,,172,141
2016/12/30,,,262,,,,,,284,495,,,,,,143,134
2016/12/31,,,134,,,,,,119,210,,,,,,65,76
2017/01/01,,,201,,,,,,80,172,,,,,,74,50
2017/01/02,,,262,,,,,,315,495,,,,,,149,136
2017/01/03,,,136,,,,,,262,414,,,,,,74,92
2017/01/04,,,0,,,,,,246,411,,,,,,73,96
2017/01/05,,,1,,,,,,230,369,,,,,,43,103
